exec,format,format_,niter,x,nprocs,nruns,exec-time,insp-time,size,bs,matrix,speedup
cg_par,csb-b256,csb,500,0,8,9,0.259956,0.106146,20357754,256,cant,
cg_par,eigen,eigen,500,0.018151,16,9,0.247235,0.056321,24668812,1,cant,
cg_par,coo,coo,500,0,16,9,0.184197,0,32558672,1,cant,
cg_par,csr,csr,500,0,16,9,0.069338,0.002937,24668812,1,cant,
cg_par,dsr,dsr,500,0,16,9,0.075512,0.003161,24918616,1,cant,
cg_par,ell,ell,500,0,16,9,0.265721,0.033276,30725896,1,cant,
cg_par,csb-b64,csb,500,0,16,9,0.133327,0.101432,20406702,64,cant,
cg_par,csb-b128,csb,500,0,16,9,0.138429,0.126266,20372142,128,cant,
cg_par,csb-b256,csb,500,0,16,9,0.14644,0.106258,20357754,256,cant,
cg_par,eigen,eigen,500,0.018151,24,9,0.238115,0.056151,24668812,1,cant,
cg_par,coo,coo,500,0,24,9,0.148992,0,32558672,1,cant,
cg_par,csr,csr,500,0,24,9,0.053445,0.002954,24668812,1,cant,
cg_par,dsr,dsr,500,0,24,9,0.059545,0.003185,24918616,1,cant,
cg_par,ell,ell,500,0,24,9,0.227099,0.035122,30725896,1,cant,
cg_par,csb-b64,csb,500,0,24,9,0.1013,0.100972,20406702,64,cant,
cg_par,csb-b128,csb,500,0,24,9,0.104584,0.125898,20372142,128,cant,
cg_par,csb-b256,csb,500,0,24,9,0.109499,0.106137,20357754,256,cant,
cg_par,eigen,eigen,500,0.018151,28,9,0.235888,0.055748,24668812,1,cant,1
cg_par,coo,coo,500,0,28,9,0.129604,0,32558672,1,cant,1.820067282
cg_par,csr,csr,500,0,28,9,0.048727,0.002948,24668812,1,cant,4.84101217
cg_par,dsr,dsr,500,0,28,9,0.05496,0.00317,24918616,1,cant,4.291994178
cg_par,ell,ell,500,0,28,9,0.232577,0.034146,30725896,1,cant,1.014236145
cg_par,csb-b64,csb,500,0,28,9,0.094575,0.101032,20406702,64,cant,2.494189796
cg_par,csb-b128,csb,500,0,28,9,0.096964,0.126499,20372142,128,cant,2.432737923
cg_par,csb-b256,csb,500,0,28,9,0.098722,0.106078,20357754,256,cant,2.389416746
cg_par,eigen,eigen,500,-0.017497,1,9,1.602343,0.084883,36896224,1,consph,
cg_par,coo,coo,500,0,1,9,3.371791,0,48750512,1,consph,
cg_par,csr,csr,500,0,1,9,1.470579,0.004477,36896224,1,consph,
cg_par,dsr,dsr,500,0,1,9,1.624277,0.004586,37229560,1,consph,
cg_par,ell,ell,500,0,1,9,4.24628,0.068117,67000540,1,consph,
cg_par,csb-b64,csb,500,0,1,9,2.318731,0.229281,30620250,64,consph,
cg_par,csb-b128,csb,500,0,1,9,2.497439,0.277812,30536514,128,consph,
